汉字,字符集,拆分2,拆分3,拆分3,标记,完成
一,1,,,,独体字,完成
丁,1,,,,独体字,完成
丂,3,,,,独体字,完成
七,1,,,,独体字,完成
丄,3,,,,独体字,完成
丅,3,,,,独体字,完成
丆,3,,,,独体字,完成
万,1,,,,独体字,完成
丈,1,,,,独体字,完成
三,1,,,,独体字,完成
上,1,,,,独体字,完成
下,1,,,,独体字,完成
丌,2,,,,独体字,完成
不,1,,,,独体字,完成
与,1,,,,独体字,完成
丏,3,,,,独体字,完成
丐,2,,,,独体字,完成
丑,1,,,,独体字,完成
丒,3,刃 一,,,上下结构,
专,1,,,,独体字,
且,1,,,,独体字,
丕,2,不 一,,,上下结构,
世,1,,,,独体字,完成
丗,3,,,,独体字,完成
丘,1,,,,独体字,完成
丙,1,,,,独体字,完成
业,1,,,,独体字,完成
丛,1,从 一,,,上下结构,完成
东,1,,,,独体字,完成
丝,1,,,,上下结构,完成
丞,2,氶 一,,,上下结构,完成
丟,3,三 厶,,,独体字,完成
丠,3,北 一,,,上下结构,完成
両,3,,,,独体字,完成
丢,1,,,,独体字,完成
丣,3,,,,独体字,完成
两,1,,,,独体字,完成
严,1,,,,独体字,完成
並,3,,,,独体字,完成
丧,1,,,,独体字,完成
丨,2,,,,独体字,完成
丩,3,,,,独体字,完成
个,1,,,,独体字,完成
丫,1,,,,独体字,完成
丬,2,,,,独体字,完成
中,1,,,,独体字,完成
丮,3,,,,独体字,完成
丯,3,,,,独体字,完成
丰,1,,,,独体字,完成
丱,3,,,,,
串,1,,,,独体字,完成
丳,3,,,,独体字,完成
临,1,,,,应该拆分,
丵,3,,,,应该拆分,
丶,2,,,,独体字,完成
丷,3,,,,独体字,完成
丸,1,,,,独体字,完成
丹,1,,,,独体字,完成
为,1,,,,独体字,完成
主,1,,,,独体字,完成
丼,3,,,,独体字,完成
丽,1,,,,,
举,1,,,,,
丿,2,,,,独体字,完成
乀,3,,,,独体字,完成
乁,3,,,,独体字,完成
乂,3,,,,独体字,完成
乃,1,,,,独体字,完成
乄,3,,,,独体字,完成
久,1,,,,独体字,完成
乆,3,,,,独体字,完成
乇,2,,,,独体字,完成
么,1,,,,,
义,1,,,,独体字,完成
乊,3,,,,独体字,完成
之,1,,,,独体字,完成
乌,1,,,,独体字,完成
乍,1,,,,独体字,完成
乎,1,,,,独体字,完成
乏,1,,,,,
乐,1,,,,独体字,完成
乑,3,,,,独体字,完成
乒,1,,,,,
乓,1,,,,,
乔,1,,,,,
乕,3,,,,,
乖,1,,,,独体字,完成
乗,3,,,,独体字,完成
乘,1,,,,独体字,完成
乙,1,,,,独体字,完成
乚,3,,,,独体字,完成
乛,3,,,,独体字,完成
乜,2,,,,独体字,完成
九,1,,,,独体字,完成
乞,1,,,,,
也,1,,,,独体字,完成
习,1,,,,独体字,完成
乡,1,,,,独体字,完成
乢,3,山 乚,,,左右结构,完成
乣,3,幺 乚,,,左右结构,完成
乤,3,下 乙,,,上下结构,完成
乥,3,,,,上下结构,完成
书,1,,,,独体字,完成
乧,3,斗 乙,,,,
乨,3,台 乚,,,左右结构,完成
乩,2,占 乚,,,左右结构,完成
乪,3,乙 田,,,,
乫,3,加 乙,,,,
乬,3,巨 乙,,,,
乭,3,石 乙,,,,
乮,3,卯 乙,,,,
乯,3,乎 乙,,,,
买,1,,,,独体字,完成
乱,1,舌 乚,,,,
乲,3,次 乙,,,,
乳,1,孚 乙,,,,
乴,3,折 乙,,,,
乵,3,辛 乚,,,,
乶,3,甫 乙,,,,
乷,3,沙 乙,,,,
乸,3,也 母,,,,
乹,3,十 日 十 乚,,,,
乺,3,所 乙,,,,
乻,3,於 乙,,,,
乼,3,注 乙,,,,
乽,3,者 乙,,,,
乾,1,韩Z 乞,,,,
乿,3,爫 糸 乚,,,,
亀,3,,,,应该拆分,
亁,3,,,,应该拆分,
亂,3,亂Z 乚,,,,
亃,3,粦 乚,,,,
亄,3,壹 乚,,,,
亅,3,,,,独体字,完成
了,1,,,,独体字,完成
亇,3,,,,独体字,完成
予,1,,,,独体字,完成
争,1,,,,独体字,完成
亊,3,,,,独体字,完成
事,1,,,,独体字,完成
二,1,,,,独体字,完成
亍,2,,,,,
于,1,,,,独体字,完成
亏,1,,,,独体字,完成
亐,3,,,,独体字,完成
云,1,,,,独体字,完成
互,1,,,,独体字,完成
