垚	土 土 土
仝	人 工
砼	石 仝
燚	炎 炎
燚	火 火 火 火
焱	火 火 火
炎	火 火
犇	牛 牛 牛
堃	方 方 土
昱	日立
骉	马 马 马
淼	水 水 水
昶	永 日
煜	火 日 立
喆	吉 吉
晟	日 成
燊	火 火 火 木
靳	革 斤
騳	马 马
尛	小 小 小
翊	立 羽
槑	呆 呆
旻	日 文
旼	日 文
婧	女 青
梓	木 辛
阚	门 敢
赟	斌 贝
斌	文 武
泺	氵 乐
佶	亻 吉
幢	巾 童
頔	由 頁
頔	由 页
叒	又 又 又
叕	又 又 又 又
羴	羊 羊 羊
昕	日 斤
蕊	艹 惢
惢	心 心 心
矗	直 直 直
岑	山 今
岒	山 今
圩	土 于
鱻	魚 魚 魚
鱻	鱼 鱼 鱼
灬	点 点 点 点
怼	对 心
姦	女 女 女
阚	门 敢
歆	音 欠
灏	氵 颢
颢	景 页
柘	木 石
饕	號 食
號	号 虎
趸	万 足
臻	至 秦
翀	羽 中
珩	王 行
兢	克 克
毳	毛 毛 毛
翀	羽 中
熠	火 習
熠	火 羽 白
習	羽 白
龘	龙 龙 龙
龘	龍 龍 龍
沂	氵 斤
斛	角 斗
圭	土 土
鑫	金 金 金
淦	氵 金
嬲	男 女 男
曌	明 空
夯	大 力
尕	乃 小
珏	王 玉
囡	口 女
黔	黑 今
疃	田 童
晔	日 华
咲	口 关
赑	贝 贝 贝
懋	楙 心
楙	木 矛 木
泵	石 水
郢	呈 阝
晁	日 兆
昝	处 日
㵘	水 水 水 水
赟	文 武 贝
砼	石 人 工
灏	氵 景 页
彧	或 丿 丿
也	乜 丨
沉	氵 冗
冀	北 田 共
懋	木 矛 木 心
皋	白 大 十
罡	四 正
有	冇 二
罘	四 不
鹄	告 鸟
勰	力 力 力 思
煦	日 句 灬
戈	弋 丿
飚	风 火 火 火
酒	氵 酉
肫	月 屯
